input_condition,model,model_name,layer,pooling,fragmentation_category,spearman_rho,p_value,n_pairs,total_pairs,category_share,rank_within_configuration
isolated,mBERT,bert-base-multilingual-cased,12,max,clean,-0.2377622377622378,0.4568008526399232,12.0,500,0.024,3
isolated,mBERT,bert-base-multilingual-cased,1,first,one_word_split,0.06795259357212709,0.5341625809164765,86.0,500,0.172,2
isolated,mBERT,bert-base-multilingual-cased,1,last,one_word_split,0.04633131379917756,0.6718580539196248,86.0,500,0.172,1
isolated,mBERT,bert-base-multilingual-cased,1,mean,one_word_split,0.03518535043872302,0.7477402636405852,86.0,500,0.172,1
isolated,mBERT,bert-base-multilingual-cased,1,max,one_word_split,0.09391890990932161,0.38971926467374807,86.0,500,0.172,1
isolated,mBERT,bert-base-multilingual-cased,7,first,one_word_split,0.11464284517443793,0.29322784513564765,86.0,500,0.172,2
isolated,mBERT,bert-base-multilingual-cased,7,last,one_word_split,0.16663215223879538,0.12517412812367298,86.0,500,0.172,1
isolated,mBERT,bert-base-multilingual-cased,7,mean,one_word_split,0.10651951594563208,0.3289914987017222,86.0,500,0.172,1
isolated,mBERT,bert-base-multilingual-cased,7,max,one_word_split,0.12645000975119064,0.24598629661852806,86.0,500,0.172,1
isolated,mBERT,bert-base-multilingual-cased,12,first,one_word_split,0.19468597527315978,0.07245414964055288,86.0,500,0.172,1
isolated,mBERT,bert-base-multilingual-cased,12,last,one_word_split,0.25599821948732115,0.01735589435963462,86.0,500,0.172,1
isolated,mBERT,bert-base-multilingual-cased,12,mean,one_word_split,0.23292229703851572,0.03091204105334463,86.0,500,0.172,1
isolated,mBERT,bert-base-multilingual-cased,12,max,one_word_split,0.21110265690067673,0.05104671464546691,86.0,500,0.172,1
isolated,mBERT,bert-base-multilingual-cased,1,first,both_words_split,0.14768174554125915,0.0029966592464756954,402.0,500,0.804,1
isolated,mBERT,bert-base-multilingual-cased,1,last,both_words_split,0.030221124510141553,0.5457220733317835,402.0,500,0.804,2
isolated,mBERT,bert-base-multilingual-cased,1,mean,both_words_split,0.004129504281067033,0.934218237844635,402.0,500,0.804,2
isolated,mBERT,bert-base-multilingual-cased,1,max,both_words_split,-0.07750139533275455,0.12080738268314223,402.0,500,0.804,2
isolated,mBERT,bert-base-multilingual-cased,7,first,both_words_split,0.14395945510724903,0.0038222440881198246,402.0,500,0.804,1
isolated,mBERT,bert-base-multilingual-cased,7,last,both_words_split,0.1038256297530245,0.037448385717624155,402.0,500,0.804,2
isolated,mBERT,bert-base-multilingual-cased,7,mean,both_words_split,0.08821758822371581,0.07727928761600186,402.0,500,0.804,2
isolated,mBERT,bert-base-multilingual-cased,7,max,both_words_split,0.04409419780304783,0.37790558662956564,402.0,500,0.804,2
isolated,mBERT,bert-base-multilingual-cased,12,first,both_words_split,0.16693997637280503,0.0007785119213069068,402.0,500,0.804,2
isolated,mBERT,bert-base-multilingual-cased,12,last,both_words_split,0.11296866491667788,0.02349934423451975,402.0,500,0.804,2
isolated,mBERT,bert-base-multilingual-cased,12,mean,both_words_split,0.1006084179413312,0.04379694900607021,402.0,500,0.804,2
isolated,mBERT,bert-base-multilingual-cased,12,max,both_words_split,0.02793640831271465,0.5765111383618673,402.0,500,0.804,2
isolated,XLM-R,xlm-roberta-base,1,first,clean,0.1407479501121443,0.17840704524357737,93.0,500,0.186,2
isolated,XLM-R,xlm-roberta-base,1,last,clean,0.1407479501121443,0.17840704524357737,93.0,500,0.186,1
isolated,XLM-R,xlm-roberta-base,1,mean,clean,0.1407479501121443,0.17840704524357737,93.0,500,0.186,1
isolated,XLM-R,xlm-roberta-base,1,max,clean,0.1407479501121443,0.17840704524357737,93.0,500,0.186,1
isolated,XLM-R,xlm-roberta-base,7,first,clean,0.1537807206305896,0.1410965363324623,93.0,500,0.186,1
isolated,XLM-R,xlm-roberta-base,7,last,clean,0.1537807206305896,0.1410965363324623,93.0,500,0.186,1
isolated,XLM-R,xlm-roberta-base,7,mean,clean,0.1537807206305896,0.1410965363324623,93.0,500,0.186,1
isolated,XLM-R,xlm-roberta-base,7,max,clean,0.1537807206305896,0.1410965363324623,93.0,500,0.186,1
isolated,XLM-R,xlm-roberta-base,12,first,clean,0.13176832643878256,0.20801610360768244,93.0,500,0.186,1
isolated,XLM-R,xlm-roberta-base,12,last,clean,0.13176832643878256,0.20801610360768244,93.0,500,0.186,1
isolated,XLM-R,xlm-roberta-base,12,mean,clean,0.13176832643878256,0.20801610360768244,93.0,500,0.186,1
