input_condition,model,model_name,layer,pooling,spearman_rho_full_canonical,p_value_full_canonical,n_pairs_full_canonical,total_n_pairs,clean_pairs,split_pairs,one_word_split_pairs,both_words_split_pairs,clean_pair_percentage,split_pair_percentage,one_word_split_percentage,both_words_split_percentage,mean_pair_total_subtoken_count,median_pair_total_subtoken_count,mean_pair_max_subtoken_count,mean_pair_avg_subtoken_char_length,full_n_pairs,full_spearman_rho,full_p_value,clean_n_pairs,clean_spearman_rho,clean_p_value,split_n_pairs,split_spearman_rho,split_p_value,one_word_split_n_pairs,one_word_split_spearman_rho,one_word_split_p_value,both_words_split_n_pairs,both_words_split_spearman_rho,both_words_split_p_value,isolated_spearman_rho_same_config,contextual_spearman_rho_same_config,contextual_minus_isolated,mean_word1_context_sentence_count,mean_word2_context_sentence_count,rank_within_input_condition,rank_within_model_and_input,is_best_global,is_best_within_input_condition,is_best_within_model_and_input
isolated,BERTurk,dbmdz/bert-base-turkish-cased,12,max,0.3223381707694723,1.4932611555911245e-13,500,500,225,275,170,105,45.0,55.0,34.0,21.0,3.092,3.0,1.826,4.613028571428571,500,0.3223381707694723,1.4932611555911243e-13,225,0.3813522119730621,3.351012981408982e-09,275,0.05428912487873599,0.36980211640369354,170,0.13604840442618732,0.07689368269405379,105,0.11402100438382771,0.246797419564576,0.3223381707694723,0.3527321114141784,0.030393940644706074,,,7,7,False,False,False
isolated,mBERT,bert-base-multilingual-cased,1,first,0.1359953386270971,0.0023074820103367,500,500,12,488,86,402,2.4,97.6,17.2,80.4,5.496,5.0,3.258,2.5287520202020204,500,0.13599533862709717,0.0023074820103367597,12,-0.18881118881118883,0.5567370561768314,488,0.1286717790308408,0.004413245503678833,86,0.06795259357212709,0.5341625809164765,402,0.14768174554125915,0.0029966592464756954,0.1359953386270971,0.0974250892106725,-0.03857024941642459,,,14,2,False,False,False
isolated,mBERT,bert-base-multilingual-cased,1,last,0.0319015618830232,0.4766280399772438,500,500,12,488,86,402,2.4,97.6,17.2,80.4,5.496,5.0,3.258,2.5287520202020204,500,0.03190156188302326,0.4766280399772438,12,-0.18881118881118883,0.5567370561768314,488,0.021533703868788192,0.6351218864744828,86,0.04633131379917756,0.6718580539196248,402,0.030221124510141553,0.5457220733317835,0.0319015618830232,-0.0086340241968364,-0.0405355860798596,,,27,8,False,False,False
isolated,mBERT,bert-base-multilingual-cased,1,mean,-0.0231273833940791,0.6059112105358864,500,500,12,488,86,402,2.4,97.6,17.2,80.4,5.496,5.0,3.258,2.5287520202020204,500,-0.023127383394079156,0.6059112105358864,12,-0.18881118881118883,0.5567370561768314,488,-0.023618098390453573,0.6027322354967658,86,0.03518535043872302,0.7477402636405852,402,0.004129504281067033,0.934218237844635,-0.0231273833940791,-0.0410824862245091,-0.01795510283043,,,32,11,False,False,False
isolated,mBERT,bert-base-multilingual-cased,1,max,-0.1193046084799321,0.007571591897397,500,500,12,488,86,402,2.4,97.6,17.2,80.4,5.496,5.0,3.258,2.5287520202020204,500,-0.11930460847993213,0.0075715918973970125,12,-0.18881118881118883,0.5567370561768314,488,-0.1136251822813456,0.012012920826366567,86,0.09391890990932161,0.38971926467374807,402,-0.07750139533275455,0.12080738268314223,-0.1193046084799321,-0.1364246092765847,-0.0171200007966526,,,36,12,False,False,False
isolated,mBERT,bert-base-multilingual-cased,7,first,0.0904396106227888,0.0432411072122711,500,500,12,488,86,402,2.4,97.6,17.2,80.4,5.496,5.0,3.258,2.5287520202020204,500,0.09043961062278887,0.043241107212271195,12,-0.0979020979020979,0.762121655996299,488,0.08998316342119635,0.046952635466695834,86,0.11464284517443793,0.29322784513564765,402,0.14395945510724903,0.0038222440881198246,0.0904396106227888,0.2325159706065586,0.1420763599837698,,,22,5,False,False,False
isolated,mBERT,bert-base-multilingual-cased,7,last,0.0732593993112232,0.101791643123551,500,500,12,488,86,402,2.4,97.6,17.2,80.4,5.496,5.0,3.258,2.5287520202020204,500,0.07325939931122322,0.10179164312355107,12,-0.0979020979020979,0.762121655996299,488,0.06964993576531822,0.12440647790824536,86,0.16663215223879538,0.12517412812367298,402,0.1038256297530245,0.037448385717624155,0.0732593993112232,0.244137610712835,0.1708782114016118,,,23,6,False,False,False
isolated,mBERT,bert-base-multilingual-cased,7,mean,0.0341426829193212,0.4462003445429127,500,500,12,488,86,402,2.4,97.6,17.2,80.4,5.496,5.0,3.258,2.5287520202020204,500,0.03414268291932123,0.4462003445429127,12,-0.0979020979020979,0.762121655996299,488,0.040146366311554334,0.3761864777661711,86,0.10651951594563208,0.3289914987017222,402,0.08821758822371581,0.07727928761600186,0.0341426829193212,0.1827466616761326,0.1486039787568114,,,26,7,False,False,False
isolated,mBERT,bert-base-multilingual-cased,7,max,-0.0142015956949224,0.7514116781020614,500,500,12,488,86,402,2.4,97.6,17.2,80.4,5.496,5.0,3.258,2.5287520202020204,500,-0.014201595694922478,0.7514116781020614,12,-0.0979020979020979,0.762121655996299,488,-0.01334824340110061,0.7686591489629194,86,0.12645000975119064,0.24598629661852806,402,0.04409419780304783,0.37790558662956564,-0.0142015956949224,0.05044510096871,0.0646466966636324,,,31,10,False,False,False
isolated,mBERT,bert-base-multilingual-cased,12,first,0.1545530279057371,0.0005241109973414,500,500,12,488,86,402,2.4,97.6,17.2,80.4,5.496,5.0,3.258,2.5287520202020204,500,0.1545530279057371,0.0005241109973414284,12,-0.2377622377622378,0.4568008526399232,488,0.15555528041429925,0.000563646488433681,86,0.19468597527315978,0.07245414964055288,402,0.16693997637280503,0.0007785119213069068,0.1545530279057371,0.1739303213877771,0.01937729348203998,,,13,1,False,False,True
isolated,mBERT,bert-base-multilingual-cased,12,last,0.1251416593329325,0.005074399787878,500,500,12,488,86,402,2.4,97.6,17.2,80.4,5.496,5.0,3.258,2.5287520202020204,500,0.12514165933293253,0.005074399787878068,12,-0.2377622377622378,0.4568008526399232,488,0.12487375726779333,0.005739626961072636,86,0.25599821948732115,0.01735589435963462,402,0.11296866491667788,0.02349934423451975,0.1251416593329325,0.1714851776714502,0.046343518338517686,,,15,3,False,False,False
isolated,mBERT,bert-base-multilingual-cased,12,mean,0.0939571368193527,0.0356993637471216,500,500,12,488,86,402,2.4,97.6,17.2,80.4,5.496,5.0,3.258,2.5287520202020204,500,0.09395713681935276,0.035699363747121626,12,-0.2377622377622378,0.4568008526399232,488,0.0988499948438523,0.029005066514172884,86,0.23292229703851572,0.03091204105334463,402,0.1006084179413312,0.04379694900607021,0.0939571368193527,0.1140367900488949,0.020079653229542208,,,21,4,False,False,False
isolated,mBERT,bert-base-multilingual-cased,12,max,-0.0055534694350408,0.9014186017832452,500,500,12,488,86,402,2.4,97.6,17.2,80.4,5.496,5.0,3.258,2.5287520202020204,500,-0.0055534694350408385,0.9014186017832451,12,-0.2377622377622378,0.4568008526399232,488,-0.00018395980265977188,0.9967658769235147,86,0.21110265690067673,0.05104671464546691,402,0.02793640831271465,0.5765111383618673,-0.0055534694350408,-0.0313791598615479,-0.0258256904265071,,,30,9,False,False,False
isolated,XLM-R,xlm-roberta-base,1,first,0.1211717120011311,0.0066737019088591,500,500,93,407,188,219,18.6,81.4,37.6,43.8,4.03,4.0,2.438,3.6581626984126983,500,0.1211717120011311,0.006673701908859176,93,0.1407479501121443,0.17840704524357737,407,0.09256475298365308,0.06208510639751603,188,0.017114408701115188,0.8156736725230267,219,0.1624484138345943,0.016116597803758057,0.1211717120011311,0.1365909462386466,0.015419234237515497,,,16,1,False,False,True
