model,model_name,layer,pooling,n,mean_sim_same_root,mean_sim_same_suffix,mean_delta,ci95_low,ci95_high,wilcoxon_p
BERTurk,dbmdz/bert-base-turkish-cased,1,first,60,0.7510263755497569,0.3810812529336438,0.36994512261611334,0.3240076092313428,0.41448962436642794,1.629555794311934e-11
XLM-R,xlm-roberta-base,1,first,60,0.9553029918395133,0.5683634630422875,0.38693952879722576,0.3543194195845029,0.41386208927663765,1.994566564292453e-11
mBERT,bert-base-multilingual-cased,1,first,60,0.9793302246588831,0.3426853298664234,0.6366448947924597,0.6131369172043243,0.6589442481122505,1.629555794311934e-11
